Scenario,Replication,Object Type,Object Name,Data Source,Category,Data Item,Statistic Type,Value
Scenario1,4,ModelEntity,DefaultEntity,[Population],Costs,CostPerItem,Minimum,0
Scenario1,5,ModelEntity,DefaultEntity,[Population],Costs,CostPerItem,Minimum,0
Scenario1,6,ModelEntity,DefaultEntity,[Population],Costs,CostPerItem,Minimum,0
Scenario1,7,ModelEntity,DefaultEntity,[Population],Costs,CostPerItem,Minimum,0
Scenario1,8,ModelEntity,DefaultEntity,[Population],Costs,CostPerItem,Minimum,0
Scenario1,9,ModelEntity,DefaultEntity,[Population],Costs,CostPerItem,Minimum,0
Scenario1,10,ModelEntity,DefaultEntity,[Population],Costs,CostPerItem,Minimum,0
Scenario1,1,ModelEntity,DefaultEntity,[Population],Costs,CostPerItem,Observations,5635
Scenario1,2,ModelEntity,DefaultEntity,[Population],Costs,CostPerItem,Observations,5785
Scenario1,3,ModelEntity,DefaultEntity,[Population],Costs,CostPerItem,Observations,5652
Scenario1,4,ModelEntity,DefaultEntity,[Population],Costs,CostPerItem,Observations,5707
Scenario1,5,ModelEntity,DefaultEntity,[Population],Costs,CostPerItem,Observations,5801
Scenario1,6,ModelEntity,DefaultEntity,[Population],Costs,CostPerItem,Observations,5602
Scenario1,7,ModelEntity,DefaultEntity,[Population],Costs,CostPerItem,Observations,5630
Scenario1,8,ModelEntity,DefaultEntity,[Population],Costs,CostPerItem,Observations,5573
Scenario1,9,ModelEntity,DefaultEntity,[Population],Costs,CostPerItem,Observations,5616
Scenario1,10,ModelEntity,DefaultEntity,[Population],Costs,CostPerItem,Observations,5831
Scenario1,1,ModelEntity,DefaultEntity,[Population],FlowTime,TimeInSystem,Average,0.0111443570648287
Scenario1,2,ModelEntity,DefaultEntity,[Population],FlowTime,TimeInSystem,Average,0.0121507231244086
Scenario1,3,ModelEntity,DefaultEntity,[Population],FlowTime,TimeInSystem,Average,0.0115241302721769
Scenario1,4,ModelEntity,DefaultEntity,[Population],FlowTime,TimeInSystem,Average,0.0120734860623573
Scenario1,5,ModelEntity,DefaultEntity,[Population],FlowTime,TimeInSystem,Average,0.0125504507798543
Scenario1,6,ModelEntity,DefaultEntity,[Population],FlowTime,TimeInSystem,Average,0.011466402013759
Scenario1,7,ModelEntity,DefaultEntity,[Population],FlowTime,TimeInSystem,Average,0.0127437065149385
Scenario1,8,ModelEntity,DefaultEntity,[Population],FlowTime,TimeInSystem,Average,0.0113193973928073
Scenario1,9,ModelEntity,DefaultEntity,[Population],FlowTime,TimeInSystem,Average,0.0114890263336391
Scenario1,10,ModelEntity,DefaultEntity,[Population],FlowTime,TimeInSystem,Average,0.0126553111818412
Scenario1,1,ModelEntity,DefaultEntity,[Population],FlowTime,TimeInSystem,Maximum,0.0478795203280864
Scenario1,2,ModelEntity,DefaultEntity,[Population],FlowTime,TimeInSystem,Maximum,0.0467401152552696
Scenario1,3,ModelEntity,DefaultEntity,[Population],FlowTime,TimeInSystem,Maximum,0.0459558495198404
Scenario1,4,ModelEntity,DefaultEntity,[Population],FlowTime,TimeInSystem,Maximum,0.0529555210432164
Scenario1,5,ModelEntity,DefaultEntity,[Population],FlowTime,TimeInSystem,Maximum,0.0578451696855191
Scenario1,6,ModelEntity,DefaultEntity,[Population],FlowTime,TimeInSystem,Maximum,0.0555725242402545
Scenario1,7,ModelEntity,DefaultEntity,[Population],FlowTime,TimeInSystem,Maximum,0.0745043633777378
Scenario1,8,ModelEntity,DefaultEntity,[Population],FlowTime,TimeInSystem,Maximum,0.059708642281624
Scenario1,9,ModelEntity,DefaultEntity,[Population],FlowTime,TimeInSystem,Maximum,0.0493537165620133
Scenario1,10,ModelEntity,DefaultEntity,[Population],FlowTime,TimeInSystem,Maximum,0.05801897767798
Scenario1,1,ModelEntity,DefaultEntity,[Population],FlowTime,TimeInSystem,Minimum,0.00405238124661444
Scenario1,2,ModelEntity,DefaultEntity,[Population],FlowTime,TimeInSystem,Minimum,0.0040104091267068
Scenario1,3,ModelEntity,DefaultEntity,[Population],FlowTime,TimeInSystem,Minimum,0.00408718319382295
Scenario1,4,ModelEntity,DefaultEntity,[Population],FlowTime,TimeInSystem,Minimum,0.0040310913270929
Scenario1,5,ModelEntity,DefaultEntity,[Population],FlowTime,TimeInSystem,Minimum,0.00406574329447906
Scenario1,6,ModelEntity,DefaultEntity,[Population],FlowTime,TimeInSystem,Minimum,0.00405668961910684
